PERSON_ID,FIRST_NAME,LAST_NAME,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,TEAM_ID,DLEAGUE_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
1626167,Myles,Turner,1996-03-24,Texas,USA,6-11,250,10,33,Center-Forward,1610612754,N,2015,1,11,N
1626168,Trey,Lyles,1995-11-05,Kentucky,Canada,6-9,234,10,41,Forward,1610612758,N,2015,1,12,N
1626171,Bobby,Portis,1995-02-10,Arkansas,USA,6-10,250,10,9,Forward,1610612749,Y,2015,1,22,N
1626172,Kevon,Looney,1996-02-06,UCLA,USA,6-9,222,10,5,Forward,1610612744,Y,2015,1,30,N
200768,Kyle,Lowry,1986-03-25,Villanova,USA,6-0,196,19,7,Guard,1610612755,N,2006,1,24,N
1626179,Terry,Rozier,1994-03-17,Louisville,USA,6-1,190,10,2,Guard,1610612748,Y,2015,1,16,N
1626181,Norman,Powell,1993-05-25,UCLA,USA,6-4,215,10,24,Guard,1610612746,Y,2015,2,46,N
200782,P.J.,Tucker,1985-05-05,Texas,USA,6-5,245,14,,Forward,1610612752,Y,2006,2,35,N
1626192,Pat,Connaughton,1993-01-06,Notre Dame,USA,6-5,209,10,24,Guard,1610612749,N,2015,2,41,N
1630288,Jeff,Dowtin Jr.,1997-05-10,Rhode Island,USA,6-3,177,4,11,Guard,1610612755,Y,Undrafted,Undrafted,Undrafted,N
1630296,Braxton,Key,1997-02-14,Virginia,USA,6-8,225,4,12,Forward,1610612744,Y,Undrafted,Undrafted,Undrafted,N
1626204,Larry,Nance Jr.,1993-01-01,Wyoming,USA,6-8,245,10,22,Forward-Center,1610612737,N,2015,1,27,N
1629057,Robert,Williams III,1997-10-17,Texas A&M,USA,6-9,249,7,35,Center-Forward,1610612757,Y,2018,1,27,N
1630311,Pat,Spencer,1996-07-04,Northwestern,USA,6-3,205,2,61,Guard,1610612744,Y,Undrafted,Undrafted,Undrafted,N
1630314,Brandon,Williams,1999-11-22,Arizona,USA,6-1,190,3,10,Guard,1610612742,Y,Undrafted,Undrafted,Undrafted,N
1626220,Royce,O'Neale,1993-06-05,Baylor,USA,6-6,226,8,00,Forward,1610612756,Y,Undrafted,Undrafted,Undrafted,N
1630322,Lindy,Waters III,1997-07-28,Oklahoma State,USA,6-6,210,4,43,Forward,1610612765,Y,Undrafted,Undrafted,Undrafted,N
1631107,Nikola,Jović,2003-06-09,Mega Basket,Serbia,6-10,205,3,5,Forward,1610612748,Y,2022,1,27,N
1628365,Markelle,Fultz,1998-05-29,Washington,USA,6-4,209,8,20,Guard,1610612758,N,2017,1,1,N
1628366,Lonzo,Ball,1997-10-27,UCLA,USA,6-6,190,6,2,Guard,1610612741,N,2017,1,2,N
1628368,De'Aaron,Fox,1997-12-20,Kentucky,USA,6-3,185,8,4,Guard,1610612759,N,2017,1,5,N
1628369,Jayson,Tatum,1998-03-03,Duke,USA,6-8,210,8,0,Forward-Guard,1610612738,N,2017,1,3,N
1628370,Malik,Monk,1998-02-04,Kentucky,USA,6-3,200,8,0,Guard,1610612758,Y,2017,1,11,N
1628371,Jonathan,Isaac,1997-10-03,Florida State,USA,6-10,230,6,1,Forward,1610612753,Y,2017,1,6,N
1628374,Lauri,Markkanen,1997-05-22,Arizona,Finland,7-0,240,8,23,Forward-Center,1610612762,N,2017,1,7,N
1628378,Donovan,Mitchell,1996-09-07,Louisville,USA,6-3,215,8,45,Guard,1610612739,N,2017,1,13,N
1628379,Luke,Kennard,1996-06-24,Duke,USA,6-5,206,8,10,Guard,1610612763,Y,2017,1,12,N
1628380,Zach,Collins,1997-11-19,Gonzaga,USA,6-11,250,7,12,Forward-Center,1610612741,Y,2017,1,10,N
1628381,John,Collins,1997-09-23,Wake Forest,USA,6-9,226,8,20,Forward-Center,1610612762,N,2017,1,19,N
1628384,OG,Anunoby,1997-07-17,Indiana,United Kingdom,6-7,240,8,8,Forward-Guard,1610612752,N,2017,1,23,N
1628386,Jarrett,Allen,1998-04-21,Texas,USA,6-9,243,8,31,Center,1610612739,N,2017,1,22,N
1628389,Bam,Adebayo,1997-07-18,Kentucky,USA,6-9,255,8,13,Center-Forward,1610612748,N,2017,1,14,N
1628392,Isaiah,Hartenstein,1998-05-05,Zalgiris,Germany,7-0,250,7,55,Center-Forward,1610612760,Y,2017,2,43,N
1628396,Tony,Bradley,1998-01-08,North Carolina,USA,6-11,248,7,13,Center-Forward,1610612754,Y,2017,1,28,N
1628398,Kyle,Kuzma,1995-07-24,Utah,USA,6-9,221,8,18,Forward,1610612749,N,2017,1,27,N
1628401,Derrick,White,1994-07-02,Colorado,USA,6-4,190,8,9,Guard,1610612738,Y,2017,1,29,N
1628404,Josh,Hart,1995-03-06,Villanova,USA,6-4,215,8,3,Guard,1610612752,Y,2017,1,30,N
1628415,Dillon,Brooks,1996-01-22,Oregon,Canada,6-6,225,8,9,Guard-Forward,1610612745,N,2017,2,45,N
1628418,Thomas,Bryant,1997-07-31,Indiana,USA,6-10,248,8,3,Center-Forward,1610612754,Y,2017,2,42,N
1628420,Monté,Morris,1995-06-27,Iowa State,USA,6-2,183,8,23,Guard,1610612756,Y,2017,2,51,N
1628427,Vlatko,Čančar,1997-04-10,San Pablo Burgos,Slovenia,6-8,236,5,31,Forward,1610612743,Y,2017,2,49,N
1628436,Luke,Kornet,1995-07-15,Vanderbilt,USA,7-1,250,8,40,Center-Forward,1610612738,Y,Undrafted,Undrafted,Undrafted,N
1628449,Chris,Boucher,1993-01-11,Oregon,Saint Lucia,6-9,200,8,25,Forward,1610612761,Y,Undrafted,Undrafted,Undrafted,N
1628467,Maxi,Kleber,1992-01-29,Bayern Munich,Germany,6-10,240,8,14,Forward,1610612747,N,Undrafted,Undrafted,Undrafted,N
1628470,Torrey,Craig,1990-12-19,South Carolina Upstate,USA,6-5,221,8,12,Forward,1610612738,Y,Undrafted,Undrafted,Undrafted,N
1630526,Jeremiah,Robinson-Earl,2000-11-03,Villanova,USA,6-8,240,4,50,Forward,1610612740,Y,2021,2,32,N
1630527,Brandon,Boston,2001-11-28,Kentucky,USA,6-6,188,4,11,Guard,1610612740,Y,2021,2,51,N
1630528,Josh,Christopher,2001-12-08,Arizona State,USA,6-4,215,3,8,Guard,1610612748,Y,2021,1,24,N
1630529,Herbert,Jones,1998-10-06,Alabama,USA,6-7,206,4,2,Forward,1610612740,N,2021,2,35,N
1630530,Trey,Murphy III,2000-06-18,Virginia,USA,6-8,206,4,25,Forward,1610612740,Y,2021,1,17,N
1630531,Jaden,Springer,2002-09-25,Tennessee,USA,6-4,202,4,11,Guard,1610612762,Y,2021,1,28,N
203076,Anthony,Davis,1993-03-11,Kentucky,USA,6-10,253,13,3,Forward-Center,1610612742,N,2012,1,1,Y
1630533,Ziaire,Williams,2001-09-12,Stanford,USA,6-9,185,4,8,Forward,1610612751,Y,2021,1,10,N
1630534,Ochai,Agbaji,2000-04-20,Kansas,USA,6-5,215,3,30,Guard,1610612761,Y,2022,1,14,N
203078,Bradley,Beal,1993-06-28,Florida,USA,6-4,207,13,3,Guard,1610612756,N,2012,1,3,N
1630532,Franz,Wagner,2001-08-27,Michigan,Germany,6-10,220,4,22,Forward,1610612753,N,2021,1,8,N
203081,Damian,Lillard,1990-07-15,Weber State,USA,6-2,195,13,0,Guard,1610612749,N,2012,1,6,Y
1630538,Bones,Hyland,2000-09-14,Virginia Commonwealth,USA,6-2,169,4,77,Guard,1610612750,Y,2021,1,26,N
1630539,Kai,Jones,2001-01-19,Texas,Bahamas,6-11,221,3,23,Center-Forward,1610612742,Y,2021,1,19,N
203084,Harrison,Barnes,1992-05-30,North Carolina,USA,6-8,225,13,40,Forward,1610612759,N,2012,1,7,N
1630541,Moses,Moody,2002-05-31,Arkansas,USA,6-5,211,4,4,Guard,1610612744,Y,2021,1,14,N
1630540,Miles,McBride,2000-09-08,West Virginia,USA,6-1,195,4,2,Guard,1610612752,Y,2021,2,36,N
203083,Andre,Drummond,1993-08-10,Connecticut,USA,6-11,279,13,1,Center,1610612755,N,2012,1,9,N
1630545,Terrence,Shannon Jr.,2000-07-30,Illinois,USA,6-6,215,1,00,Guard-Forward,1610612750,Y,2024,1,27,N
1630544,Tre,Mann,2001-02-03,Florida,USA,6-3,178,4,23,Guard,1610612766,Y,2021,1,18,N
1630549,Day'Ron,Sharpe,2001-11-06,North Carolina,USA,6-9,265,4,20,Center,1610612751,Y,2021,1,29,N
1630550,JT,Thor,2002-08-26,Auburn,USA,6-9,203,4,21,Forward,1610612764,Y,2021,2,37,N
1630551,Justin,Champagnie,2001-06-29,Pittsburgh,USA,6-6,206,4,9,Guard-Forward,1610612764,Y,Undrafted,Undrafted,Undrafted,N
1630552,Jalen,Johnson,2001-12-18,Duke,USA,6-8,219,4,1,Forward,1610612737,Y,2021,1,20,N
1630553,Keon,Johnson,2002-03-10,Tennessee,USA,6-5,185,4,45,Guard,1610612751,Y,2021,1,21,N
1630556,Kessler,Edwards,2000-08-09,Pepperdine,USA,6-7,203,4,20,Forward,1610612742,Y,2021,2,44,N
1630557,Corey,Kispert,1999-03-03,Gonzaga,USA,6-6,224,4,24,Forward,1610612764,N,2021,1,15,N
1630558,Davion,Mitchell,1998-09-05,Baylor,USA,6-0,202,4,45,Guard,1610612748,N,2021,1,9,N
1630559,Austin,Reaves,1998-05-29,Oklahoma,USA,6-5,197,4,15,Guard,1610612747,N,Undrafted,Undrafted,Undrafted,N
1630560,Cam,Thomas,2001-10-13,Louisiana State,Japan,6-3,210,4,24,Guard,1610612751,Y,2021,1,27,N
1630561,David,Duke Jr.,1999-10-13,Providence,USA,6-4,204,4,7,Guard,1610612759,Y,Undrafted,Undrafted,Undrafted,N
203109,Jae,Crowder,1990-07-06,Marquette,USA,6-6,235,13,99,Forward,1610612758,Y,2012,2,34,N
203110,Draymond,Green,1990-03-04,Michigan State,USA,6-6,230,13,23,Forward,1610612744,N,2012,2,35,N
1630567,Scottie,Barnes,2001-08-01,Florida State,USA,6-7,237,4,4,Forward-Guard,1610612761,N,2021,1,4,N
1630568,Luka,Garza,1998-12-27,Iowa,USA,6-10,243,4,55,Center,1610612750,Y,2021,2,52,N
1630570,Trendon,Watford,2000-11-09,Louisiana State,USA,6-8,237,4,9,Guard-Forward,1610612751,N,Undrafted,Undrafted,Undrafted,N
203114,Khris,Middleton,1991-08-12,Texas A&M,USA,6-7,222,13,32,Forward,1610612764,Y,2012,2,39,N
1630572,Sandro,Mamukelashvili,1999-05-23,Seton Hall,Georgia,6-9,240,4,54,Forward-Center,1610612759,Y,2021,2,54,N
1630573,Sam,Hauser,1997-12-08,Virginia,USA,6-7,217,4,30,Forward,1610612738,Y,Undrafted,Undrafted,Undrafted,N
1630574,Ariel,Hukporti,2002-04-12,MHP Riesen,Germany,6-11,246,1,55,Center,1610612752,Y,2024,2,58,N
1630577,Julian,Champagnie,2001-06-29,St. John's,USA,6-7,217,3,30,Forward,1610612759,Y,Undrafted,Undrafted,Undrafted,N
1630578,Alperen,Sengun,2002-07-25,Besiktas,Turkey,6-11,243,4,28,Center,1610612745,N,2021,1,16,N
1630579,Jericho,Sims,1998-10-20,Texas,USA,6-10,250,4,00,Center,1610612749,Y,2021,2,58,N
1630581,Josh,Giddey,2002-10-10,NBA Global Academy,Australia,6-8,216,4,3,Guard,1610612741,N,2021,1,6,N
1630583,Santi,Aldama,2001-01-10,Loyola-Maryland,Spain,7-0,215,4,7,Forward-Center,1610612763,Y,2021,1,30,N
1630590,Scotty,Pippen Jr.,2000-11-10,Vanderbilt,USA,6-1,170,3,1,Guard,1610612763,Y,Undrafted,Undrafted,Undrafted,N
1630591,Jalen,Suggs,2001-06-03,Gonzaga,USA,6-5,205,4,4,Guard,1610612753,N,2021,1,5,N
1630592,Jalen,Wilson,2000-11-04,Kansas,USA,6-6,220,2,22,Forward,1610612751,Y,2023,2,51,N
1630595,Cade,Cunningham,2001-09-25,Oklahoma State,USA,6-6,220,4,2,Guard,1610612765,N,2021,1,1,N
1630596,Evan,Mobley,2001-06-18,Southern California,USA,6-11,215,4,4,Center,1610612739,N,2021,1,3,N
1630598,Aaron,Wiggins,1999-01-02,Maryland,USA,6-5,190,4,21,Guard,1610612760,Y,2021,2,55,N
1630604,E.J.,Liddell,2000-12-18,Ohio State,USA,6-6,240,2,32,Forward,1610612741,Y,2022,2,41,N
1630611,Gui,Santos,2002-06-22,Minas,Brazil,6-6,185,2,15,Forward,1610612744,Y,2022,2,55,N
1630623,Tyson,Etienne,1999-09-17,Wichita State,USA,6-2,200,1,10,Guard,1610612751,Y,Undrafted,Undrafted,Undrafted,N
1630625,Dalano,Banton,1999-11-07,Nebraska,Canada,6-8,203,4,5,Forward,1610612757,Y,2021,2,46,N
1630631,Jose,Alvarado,1998-04-12,Georgia Tech,USA,6-0,179,4,15,Guard,1610612740,Y,Undrafted,Undrafted,Undrafted,N
1630639,A.J.,Lawson,2000-07-15,South Carolina,Canada,6-6,179,3,0,Guard,1610612761,Y,Undrafted,Undrafted,Undrafted,N
1630643,Jay,Huff,1997-08-25,Virginia,USA,7-1,240,4,30,Center,1610612763,Y,Undrafted,Undrafted,Undrafted,N
1630644,Mac,McClung,1999-01-06,Texas Tech,USA,6-2,185,3,8,Guard,1610612753,Y,Undrafted,Undrafted,Undrafted,N
201142,Kevin,Durant,1988-09-29,Texas,USA,6-11,240,17,35,Forward,1610612756,N,2007,1,2,Y
201143,Al,Horford,1986-06-03,Florida,Dominican Republic,6-9,240,18,42,Center-Forward,1610612738,N,2007,1,3,N
201144,Mike,Conley,1987-10-11,Ohio State,USA,6-0,175,18,10,Guard,1610612750,N,2007,1,4,N
1630649,Stanley,Umude,1999-04-12,Arkansas,USA,6-6,210,3,17,Guard,1610612749,Y,Undrafted,Undrafted,Undrafted,N
201145,Jeff,Green,1986-08-28,Georgetown,USA,6-8,235,17,32,Forward,1610612745,N,2007,1,5,N
1630658,Colin,Castleton,2000-05-25,Florida,USA,6-10,250,2,11,Center,1610612761,Y,Undrafted,Undrafted,Undrafted,N
1630692,Jordan,Goodwin,1998-10-23,St. Louis,USA,6-5,215,4,30,Guard,1610612747,Y,Undrafted,Undrafted,Undrafted,N
1630695,Micah,Potter,1998-04-06,Wisconsin,USA,6-9,248,4,25,Center,1610612762,Y,Undrafted,Undrafted,Undrafted,N
1630696,Dru,Smith,1997-12-30,Missouri,USA,6-2,203,3,12,Guard,1610612748,Y,Undrafted,Undrafted,Undrafted,N
1630699,MarJon,Beauchamp,2000-10-12,NBA G League Ignite,USA,6-7,199,3,0,Forward,1610612752,Y,2022,1,24,N
1630700,Dyson,Daniels,2003-03-17,NBA G League Ignite,Australia,6-7,199,3,5,Guard,1610612737,Y,2022,1,8,N
1630702,Jaden,Hardy,2002-07-05,NBA G League Ignite,USA,6-3,198,3,1,Guard,1610612742,Y,2022,2,37,N
1630703,Scoot,Henderson,2004-02-03,NBA G League Ignite,USA,6-3,206,2,00,Guard,1610612757,Y,2023,1,3,N
2544,LeBron,James,1984-12-30,St. Vincent-St. Mary HS (OH),USA,6-9,250,22,23,Forward,1610612747,N,2003,1,1,Y
1630811,Keaton,Wallace,1999-02-26,Texas-San Antonio,USA,6-3,185,1,2,Guard,1610612737,Y,Undrafted,Undrafted,Undrafted,N
203458,Alex,Len,1993-06-16,Maryland,Ukraine,7-0,250,12,27,Center,1610612747,N,2013,1,5,N
203468,CJ,McCollum,1991-09-19,Lehigh,USA,6-3,190,12,3,Guard,1610612740,Y,2013,1,10,N
203471,Dennis,Schröder,1993-09-15,Braunschweig,Germany,6-1,175,12,17,Guard,1610612765,Y,2013,1,17,N
203482,Kelly,Olynyk,1991-04-19,Gonzaga,Canada,6-11,240,12,13,Forward-Center,1610612740,N,2013,1,13,N
203484,Kentavious,Caldwell-Pope,1993-02-18,Georgia,USA,6-5,204,12,3,Guard,1610612763,N,2013,1,8,N
203486,Mason,Plumlee,1990-03-05,Duke,USA,6-10,254,12,22,Forward-Center,1610612756,Y,2013,1,22,N
203497,Rudy,Gobert,1992-06-26,Cholet,France,7-1,258,12,27,Center,1610612750,Y,2013,1,27,N
203500,Steven,Adams,1993-07-20,Pittsburgh,New Zealand,6-11,265,11,12,Center,1610612745,N,2013,1,12,N
203501,Tim,Hardaway Jr.,1992-03-16,Michigan,USA,6-5,205,12,8,Guard-Forward,1610612765,Y,2013,1,24,N
203507,Giannis,Antetokounmpo,1994-12-06,Filathlitikos,Greece,6-11,243,12,34,Forward,1610612749,N,2013,1,15,Y
101108,Chris,Paul,1985-05-06,Wake Forest,USA,6-0,175,20,3,Guard,1610612759,N,2005,1,4,Y
1628960,Grayson,Allen,1995-10-08,Duke,USA,6-4,198,7,8,Guard,1610612756,Y,2018,1,21,N
203552,Seth,Curry,1990-08-23,Duke,USA,6-1,185,11,30,Guard,1610612766,Y,Undrafted,Undrafted,Undrafted,N
1628963,Marvin,Bagley III,1999-03-14,Duke,USA,6-10,235,7,35,Forward,1610612763,N,2018,1,2,N
1628969,Mikal,Bridges,1996-08-30,Villanova,USA,6-6,209,7,25,Guard-Forward,1610612752,N,2018,1,10,N
1628970,Miles,Bridges,1998-03-21,Michigan State,USA,6-7,225,6,0,Forward,1610612766,N,2018,1,12,N
1628971,Bruce,Brown,1996-08-15,Miami,USA,6-4,202,7,00,Guard-Forward,1610612740,Y,2018,2,42,N
1628973,Jalen,Brunson,1996-08-31,Villanova,USA,6-2,190,7,11,Guard,1610612752,N,2018,2,33,N
1628975,Jevon,Carter,1995-09-14,West Virginia,USA,6-1,200,7,5,Guard,1610612741,Y,2018,2,32,N
1628976,Wendell,Carter Jr.,1999-04-16,Duke,USA,6-10,270,7,34,Center-Forward,1610612753,N,2018,1,7,N
1628978,Donte,DiVincenzo,1997-01-31,Villanova,USA,6-4,203,7,0,Guard,1610612750,Y,2018,1,17,N
1628983,Shai,Gilgeous-Alexander,1998-07-12,Kentucky,Canada,6-6,195,7,2,Guard,1610612760,N,2018,1,11,N
1628988,Aaron,Holiday,1996-09-30,UCLA,USA,6-0,185,7,0,Guard,1610612745,N,2018,1,23,N
1628989,Kevin,Huerter,1998-08-27,Maryland,USA,6-7,198,7,13,Guard-Forward,1610612741,N,2018,1,19,N
1628991,Jaren,Jackson Jr.,1999-09-15,Michigan State,USA,6-10,242,7,13,Forward-Center,1610612763,N,2018,1,4,N
1628995,Kevin,Knox II,1999-08-11,Kentucky,USA,6-8,215,7,31,Forward,1610612744,Y,2018,1,9,N
1628997,Caleb,Martin,1995-09-28,Nevada,USA,6-5,205,6,16,Forward,1610612742,Y,Undrafted,Undrafted,Undrafted,N
1629001,De'Anthony,Melton,1998-05-28,Southern California,USA,6-3,200,7,14,Guard,1610612751,Y,2018,2,46,N
1629003,Shake,Milton,1996-09-26,Southern Methodist,USA,6-5,205,7,20,Guard,1610612747,Y,2018,2,54,N
1629004,Svi,Mykhailiuk,1997-06-10,Kansas,Ukraine,6-7,205,7,19,Guard-Forward,1610612762,Y,2018,2,47,N
1629006,Josh,Okogie,1998-09-01,Georgia Tech,Nigeria,6-4,213,7,12,Guard,1610612766,N,2018,1,20,N
1629008,Michael,Porter Jr.,1998-06-29,Missouri,USA,6-10,218,6,1,Forward,1610612743,N,2018,1,14,N
1629011,Mitchell,Robinson,1998-04-01,Western Kentucky,USA,7-0,240,7,23,Center-Forward,1610612752,N,2018,2,36,N
1629012,Collin,Sexton,1999-01-04,Alabama,USA,6-3,190,7,2,Guard,1610612766,N,2018,1,8,N
1629013,Landry,Shamet,1997-03-13,Wichita State,USA,6-4,190,7,44,Guard,1610612752,Y,2018,1,26,N
1629014,Anfernee,Simons,1999-06-08,Edgewater HS (FL),USA,6-3,200,7,1,Guard,1610612757,Y,2018,1,24,N
1629018,Gary,Trent Jr.,1999-01-18,Duke,USA,6-5,204,7,5,Guard,1610612749,Y,2018,2,37,N
1629020,Jarred,Vanderbilt,1999-04-03,Kentucky,USA,6-8,214,7,2,Forward,1610612747,Y,2018,2,41,N
1629021,Moritz,Wagner,1997-04-26,Michigan,Germany,6-11,245,7,21,Forward-Center,1610612753,Y,2018,1,25,N
201566,Russell,Westbrook,1988-11-12,UCLA,USA,6-4,200,17,4,Guard,1610612743,N,2008,1,4,Y
1629022,Lonnie,Walker IV,1998-12-14,Miami,USA,6-4,204,7,16,Guard-Forward,1610612755,Y,2018,1,18,N
1629023,P.J.,Washington,1998-08-23,Kentucky,USA,6-6,230,6,25,Forward,1610612742,N,2019,1,12,N
201567,Kevin,Love,1988-09-07,UCLA,USA,6-8,251,17,42,Forward-Center,1610612748,N,2008,1,5,N
1629026,Kenrich,Williams,1994-12-02,TCU,USA,6-6,210,7,34,Guard-Forward,1610612760,Y,Undrafted,Undrafted,Undrafted,N
1629027,Trae,Young,1998-09-19,Oklahoma,USA,6-1,164,7,11,Guard,1610612737,N,2018,1,5,N
201572,Brook,Lopez,1988-04-01,Stanford,USA,7-1,282,17,11,Center,1610612749,N,2008,1,10,N
1629029,Luka,Dončić,1999-02-28,Real Madrid,Slovenia,6-6,230,7,77,Forward-Guard,1610612747,N,2018,1,3,N
201569,Eric,Gordon,1988-12-25,Indiana,USA,6-3,215,17,23,Guard,1610612755,N,2008,1,7,N
201587,Nicolas,Batum,1988-12-14,Le Mans,France,6-8,230,17,33,Guard-Forward,1610612746,N,2008,1,25,N
1631093,Jaden,Ivey,2002-02-13,Purdue,USA,6-4,195,3,23,Guard,1610612765,N,2022,1,5,N
1631094,Paolo,Banchero,2002-11-12,Duke,USA,6-10,250,3,5,Forward,1610612753,N,2022,1,1,N
1631095,Jabari,Smith Jr.,2003-05-13,Auburn,USA,6-10,220,3,10,Forward,1610612745,N,2022,1,3,N
1629048,Goga,Bitadze,1999-07-20,Mega Basket,Georgia,6-10,250,6,35,Center-Forward,1610612753,Y,2019,1,18,N
1631097,Bennedict,Mathurin,2002-06-19,Arizona,Canada,6-5,210,3,00,Guard-Forward,1610612754,N,2022,1,6,N
1631096,Chet,Holmgren,2002-05-01,Gonzaga,USA,7-1,208,2,7,Center-Forward,1610612760,N,2022,1,2,N
1631099,Keegan,Murray,2000-08-19,Iowa,USA,6-8,225,3,13,Forward,1610612758,N,2022,1,4,N
1631101,Shaedon,Sharpe,2003-05-30,Kentucky,Canada,6-5,208,3,17,Guard,1610612757,N,2022,1,7,N
1631102,TyTy,Washington Jr.,2001-11-15,Kentucky,USA,6-3,195,3,14,Guard,1610612756,Y,2022,1,29,N
201599,DeAndre,Jordan,1988-07-21,Texas A&M,USA,6-11,265,17,6,Center,1610612743,N,2008,2,35,N
1629056,Terence,Davis,1997-05-16,Mississippi,USA,6-4,201,5,3,Guard,1610612758,Y,Undrafted,Undrafted,Undrafted,N
1631105,Jalen,Duren,2003-11-18,Memphis,USA,6-10,250,3,0,Center,1610612765,N,2022,1,13,N
1631106,Tari,Eason,2001-05-10,Louisiana State,USA,6-8,215,3,17,Forward,1610612745,N,2022,1,17,N
1631103,Malaki,Branham,2003-05-12,Ohio State,USA,6-4,180,3,22,Forward,1610612759,Y,2022,1,20,N
1631108,Max,Christie,2003-02-10,Michigan State,USA,6-5,190,3,00,Guard,1610612742,Y,2022,2,35,N
1631104,Blake,Wesley,2003-03-16,Notre Dame,USA,6-3,185,3,14,Guard,1610612759,Y,2022,1,25,N
1629060,Rui,Hachimura,1998-02-08,Gonzaga,Japan,6-8,230,6,28,Forward,1610612747,N,2019,1,9,N
1631111,Wendell,Moore Jr.,2001-09-18,Duke,USA,6-5,215,3,9,Guard,1610612766,Y,2022,1,26,N
1631109,Mark,Williams,2001-12-16,Duke,USA,7-0,240,3,5,Center,1610612756,Y,2022,1,15,N
1631110,Jeremy,Sochan,2003-05-20,Baylor,Poland,6-8,230,3,10,Forward,1610612759,N,2022,1,9,N
1631114,Jalen,Williams,2001-04-14,Santa Clara,USA,6-5,211,3,8,Guard-Forward,1610612760,N,2022,1,12,N
1631116,Patrick,Baldwin Jr.,2002-11-18,Wisconsin-Milwaukee,USA,6-9,220,3,23,Forward,1610612746,Y,2022,1,28,N
1631117,Walker,Kessler,2001-07-26,Auburn,USA,7-0,245,3,24,Center,1610612762,N,2022,1,22,N
1631119,Jaylin,Williams,2002-06-29,Arkansas,USA,6-9,240,3,6,Forward,1610612760,Y,2022,2,34,N
