PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
1630230,Naji,Marshall,Naji Marshall,"Marshall, Naji",N. Marshall,naji-marshall,1998-01-24T00:00:00,Xavier,USA,Xavier/USA,6-6,220,5,13,Forward,Active,N,1610612742,Mavericks,DAL,mavericks,Dallas,naji_marshall,2020,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630231,KJ,Martin,KJ Martin,"Martin, KJ",K. Martin,kj-martin,2001-01-06T00:00:00,IMG Academy (FL),USA,IMG Academy (FL)/USA,6-6,215,5,99,Forward,Active,N,1610612762,Jazz,UTA,jazz,Utah,kenyon_martin_jr,2020,2025,Y,Y,Y,2020,2,52,N
1626143,Jahlil,Okafor,Jahlil Okafor,"Okafor, Jahlil",J. Okafor,jahlil-okafor,1995-12-15T00:00:00,Duke,USA,Duke/USA,6-10,270,6,,Center-Forward,Inactive,Y,0,,,,,jahlil_okafor,2015,2024,Y,Y,Y,2015,1,3,N
1626145,Tyus,Jones,Tyus Jones,"Jones, Tyus",T. Jones,tyus-jones,1996-05-10T00:00:00,Duke,USA,Duke/USA,6-1,196,10,21,Guard,Active,N,1610612756,Suns,PHX,suns,Phoenix,tyus_jones,2015,2025,Y,Y,Y,2015,1,24,N
1642530,Yuki,Kawamura,Yuki Kawamura,"Kawamura, Yuki",Y. Kawamura,yuki-kawamura,2001-05-02T00:00:00,,Japan,,5-8,159,1,17,Guard,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,yuki_kawamura,2024,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630243,Trevelin,Queen,Trevelin Queen,"Queen, Trevelin",T. Queen,trevelin-queen,1997-02-25T00:00:00,New Mexico State,USA,New Mexico State/USA,6-5,190,4,12,Guard,Active,N,1610612753,Magic,ORL,magic,Orlando,trevelin_queen,2021,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630241,Sam,Merrill,Sam Merrill,"Merrill, Sam",S. Merrill,sam-merrill,1996-05-15T00:00:00,Utah State,USA,Utah State/USA,6-4,205,5,5,Guard,Active,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,sam_merrill,2020,2025,Y,Y,Y,2020,2,60,N
1630245,Ayo,Dosunmu,Ayo Dosunmu,"Dosunmu, Ayo",A. Dosunmu,ayo-dosunmu,2000-01-17T00:00:00,Illinois,USA,Illinois/USA,6-5,200,4,11,Guard,Active,N,1610612741,Bulls,CHI,bulls,Chicago,ayo_dosunmu,2021,2025,N,Y,Y,2021,2,38,N
1626153,Delon,Wright,Delon Wright,"Wright, Delon",D. Wright,delon-wright,1992-04-26T00:00:00,Utah,USA,Utah/USA,6-5,185,10,0,Guard,Active,N,1610612752,Knicks,NYK,knicks,New York,delon_wright,2015,2025,Y,Y,Y,2015,1,20,N
1630249,Vít,Krejčí,Vít Krejčí,"Krejčí, Vít",V. Krejčí,vít-krejčí,2000-06-19T00:00:00,Zaragoza,Czech Republic,Zaragoza/Czech Republic,6-8,195,4,27,Guard,Active,N,1610612737,Hawks,ATL,hawks,Atlanta,vit_krejci,2021,2025,Y,Y,Y,2020,2,37,N
1626156,D'Angelo,Russell,D'Angelo Russell,"Russell, D'Angelo",D. Russell,dangelo-russell,1996-02-23T00:00:00,Ohio State,USA,Ohio State/USA,6-3,193,10,1,Guard,Active,N,1610612751,Nets,BKN,nets,Brooklyn,d'angelo_russell,2015,2025,N,Y,Y,2015,1,2,N
1626157,Karl-Anthony,Towns,Karl-Anthony Towns,"Towns, Karl-Anthony",K. Towns,karl-anthony-towns,1995-11-15T00:00:00,Kentucky,USA,Kentucky/USA,7-0,248,10,32,Center-Forward,Active,N,1610612752,Knicks,NYK,knicks,New York,karl-anthony_towns,2015,2025,N,Y,Y,2015,1,1,N
1626158,Richaun,Holmes,Richaun Holmes,"Holmes, Richaun",R. Holmes,richaun-holmes,1993-10-15T00:00:00,Bowling Green,USA,Bowling Green/USA,6-9,235,10,22,Forward,Active,N,1610612764,Wizards,WAS,wizards,Washington,richaun_holmes,2015,2025,Y,Y,Y,2015,2,37,N
1630256,Jae'Sean,Tate,Jae'Sean Tate,"Tate, Jae'Sean",J. Tate,jaesean-tate,1995-10-28T00:00:00,Ohio State,USA,Ohio State/USA,6-4,230,5,8,Forward,Active,N,1610612745,Rockets,HOU,rockets,Houston,jaesean_tate,2020,2025,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1626162,Kelly,Oubre Jr.,Kelly Oubre Jr.,"Oubre Jr., Kelly",K. Oubre Jr.,kelly-oubre-jr,1995-12-09T00:00:00,Kansas,USA,Kansas/USA,6-8,203,10,9,Forward-Guard,Active,N,1610612755,76ers,PHI,sixers,Philadelphia,kelly_oubre_jr,2015,2025,N,Y,Y,2015,1,15,N
1626164,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,devin-booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-6,206,10,1,Guard,Active,N,1610612756,Suns,PHX,suns,Phoenix,devin_booker,2015,2025,N,Y,Y,2015,1,13,N
1626166,Cameron,Payne,Cameron Payne,"Payne, Cameron",C. Payne,cameron-payne,1994-08-08T00:00:00,Murray State,USA,Murray State/USA,6-3,183,10,1,Guard,Active,N,1610612752,Knicks,NYK,knicks,New York,cameron_payne,2015,2025,Y,Y,Y,2015,1,14,N
1626167,Myles,Turner,Myles Turner,"Turner, Myles",M. Turner,myles-turner,1996-03-24T00:00:00,Texas,USA,Texas/USA,6-11,250,10,33,Center-Forward,Active,N,1610612754,Pacers,IND,pacers,Indiana,myles_turner,2015,2025,N,Y,Y,2015,1,11,N
1626168,Trey,Lyles,Trey Lyles,"Lyles, Trey",T. Lyles,trey-lyles,1995-11-05T00:00:00,Kentucky,Canada,Kentucky/Canada,6-9,234,10,41,Forward,Active,N,1610612758,Kings,SAC,kings,Sacramento,trey_lyles,2015,2025,N,Y,Y,2015,1,12,N
1630264,Anthony,Gill,Anthony Gill,"Gill, Anthony",A. Gill,anthony-gill,1992-10-17T00:00:00,Virginia,USA,Virginia/USA,6-8,230,6,16,Forward,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,anthony_gill,2020,2024,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1626171,Bobby,Portis,Bobby Portis,"Portis, Bobby",B. Portis,bobby-portis,1995-02-10T00:00:00,Arkansas,USA,Arkansas/USA,6-10,250,10,9,Forward,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,bobby_portis,2015,2025,Y,Y,Y,2015,1,22,N
1626172,Kevon,Looney,Kevon Looney,"Looney, Kevon",K. Looney,kevon-looney,1996-02-06T00:00:00,UCLA,USA,UCLA/USA,6-9,222,10,5,Forward,Active,N,1610612744,Warriors,GSW,warriors,Golden State,kevon_looney,2015,2025,Y,Y,Y,2015,1,30,N
200768,Kyle,Lowry,Kyle Lowry,"Lowry, Kyle",K. Lowry,kyle-lowry,1986-03-25T00:00:00,Villanova,USA,Villanova/USA,6-0,196,19,7,Guard,Active,N,1610612755,76ers,PHI,sixers,Philadelphia,kyle_lowry,2006,2025,N,Y,Y,2006,1,24,N
1626179,Terry,Rozier,Terry Rozier,"Rozier, Terry",T. Rozier,terry-rozier,1994-03-17T00:00:00,Louisville,USA,Louisville/USA,6-1,190,10,2,Guard,Active,N,1610612748,Heat,MIA,heat,Miami,terry_rozier,2015,2025,Y,Y,Y,2015,1,16,N
1626181,Norman,Powell,Norman Powell,"Powell, Norman",N. Powell,norman-powell,1993-05-25T00:00:00,UCLA,USA,UCLA/USA,6-4,215,10,24,Guard,Active,N,1610612746,Clippers,LAC,clippers,LA,norman_powell,2015,2025,Y,Y,Y,2015,2,46,N
1630283,Kylor,Kelley,Kylor Kelley,"Kelley, Kylor",K. Kelley,kylor-kelley,1997-08-26T00:00:00,Oregon State,USA,Oregon State/USA,7-0,230,0,,Center,Inactive,Y,0,,,,,kylor_kelley,2024,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
200782,P.J.,Tucker,P.J. Tucker,"Tucker, P.J.",P. Tucker,pj-tucker,1985-05-05T00:00:00,Texas,USA,Texas/USA,6-5,245,14,,Forward,Active,N,1610612752,Knicks,NYK,knicks,New York,pj_tucker,2006,2025,Y,Y,Y,2006,2,35,N
1626192,Pat,Connaughton,Pat Connaughton,"Connaughton, Pat",P. Connaughton,pat-connaughton,1993-01-06T00:00:00,Notre Dame,USA,Notre Dame/USA,6-5,209,10,24,Guard,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,pat_connaughton,2015,2025,N,Y,Y,2015,2,41,N
1630288,Jeff,Dowtin Jr.,Jeff Dowtin Jr.,"Dowtin Jr., Jeff",J. Dowtin Jr.,jeff-dowtin-jr,1997-05-10T00:00:00,Rhode Island,USA,Rhode Island/USA,6-3,177,4,11,Guard,Active,N,1610612755,76ers,PHI,sixers,Philadelphia,jeff_dowtin,2021,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1626196,Josh,Richardson,Josh Richardson,"Richardson, Josh",J. Richardson,josh-richardson,1993-09-15T00:00:00,Tennessee,USA,Tennessee/USA,6-5,200,9,,Guard,Inactive,Y,0,,,,,josh_richardson,2015,2024,Y,Y,Y,2015,2,40,N
1630296,Braxton,Key,Braxton Key,"Key, Braxton",B. Key,braxton-key,1997-02-14T00:00:00,Virginia,USA,Virginia/USA,6-8,225,4,12,Forward,Active,N,1610612744,Warriors,GSW,warriors,Golden State,braxton_key,2021,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1626204,Larry,Nance Jr.,Larry Nance Jr.,"Nance Jr., Larry",L. Nance Jr.,larry-nance-jr,1993-01-01T00:00:00,Wyoming,USA,Wyoming/USA,6-8,245,10,22,Forward-Center,Active,N,1610612737,Hawks,ATL,hawks,Atlanta,larry_nance_jr,2015,2025,N,Y,Y,2015,1,27,N
1629057,Robert,Williams III,Robert Williams III,"Williams III, Robert",R. Williams III,robert-williams-iii,1997-10-17T00:00:00,Texas A&M,USA,Texas A&M/USA,6-9,249,7,35,Center-Forward,Active,N,1610612757,Trail Blazers,POR,blazers,Portland,robert_williams,2018,2025,Y,Y,Y,2018,1,27,N
1630311,Pat,Spencer,Pat Spencer,"Spencer, Pat",P. Spencer,pat-spencer,1996-07-04T00:00:00,Northwestern,USA,Northwestern/USA,6-3,205,2,61,Guard,Active,N,1610612744,Warriors,GSW,warriors,Golden State,pat_spencer,2023,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630314,Brandon,Williams,Brandon Williams,"Williams, Brandon",B. Williams,brandon-williams,1999-11-22T00:00:00,Arizona,USA,Arizona/USA,6-1,190,3,10,Guard,Active,N,1610612742,Mavericks,DAL,mavericks,Dallas,brandon_williams,2021,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1626220,Royce,O'Neale,Royce O'Neale,"O'Neale, Royce",R. O'Neale,royce-oneale,1993-06-05T00:00:00,Baylor,USA,Baylor/USA,6-6,226,8,00,Forward,Active,N,1610612756,Suns,PHX,suns,Phoenix,royce_o'neale,2017,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630322,Lindy,Waters III,Lindy Waters III,"Waters III, Lindy",L. Waters III,lindy-waters-iii,1997-07-28T00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-6,210,4,43,Forward,Active,N,1610612765,Pistons,DET,pistons,Detroit,lindy_waters_iii,2021,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1631098,Johnny,Davis,Johnny Davis,"Davis, Johnny",J. Davis,johnny-davis,2002-02-27T00:00:00,Wisconsin,USA,Wisconsin/USA,6-4,195,2,,Guard,Inactive,Y,0,,,,,johnny_davis,2022,2024,Y,Y,Y,2022,1,10,N
1630346,Matt,Ryan,Matt Ryan,"Ryan, Matt",M. Ryan,matt-ryan,1997-04-17T00:00:00,Tennessee-Chattanooga,USA,Tennessee-Chattanooga/USA,6-6,215,3,,Forward,Inactive,Y,0,,,,,matt_ryan,2021,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1631107,Nikola,Jović,Nikola Jović,"Jović, Nikola",N. Jović,nikola-jović,2003-06-09T00:00:00,Mega Basket,Serbia,Mega Basket/Serbia,6-10,205,3,5,Forward,Active,N,1610612748,Heat,MIA,heat,Miami,nikola_jovic,2022,2025,Y,Y,Y,2022,1,27,N
1628365,Markelle,Fultz,Markelle Fultz,"Fultz, Markelle",M. Fultz,markelle-fultz,1998-05-29T00:00:00,Washington,USA,Washington/USA,6-4,209,8,20,Guard,Active,N,1610612758,Kings,SAC,kings,Sacramento,markelle_fultz,2017,2025,N,Y,Y,2017,1,1,N
1628366,Lonzo,Ball,Lonzo Ball,"Ball, Lonzo",L. Ball,lonzo-ball,1997-10-27T00:00:00,UCLA,USA,UCLA/USA,6-6,190,6,2,Guard,Active,N,1610612741,Bulls,CHI,bulls,Chicago,lonzo_ball,2017,2025,N,Y,Y,2017,1,2,N
1628368,De'Aaron,Fox,De'Aaron Fox,"Fox, De'Aaron",D. Fox,deaaron-fox,1997-12-20T00:00:00,Kentucky,USA,Kentucky/USA,6-3,185,8,4,Guard,Active,N,1610612759,Spurs,SAS,spurs,San Antonio,de'aaron_fox,2017,2025,N,Y,Y,2017,1,5,N
1628369,Jayson,Tatum,Jayson Tatum,"Tatum, Jayson",J. Tatum,jayson-tatum,1998-03-03T00:00:00,Duke,USA,Duke/USA,6-8,210,8,0,Forward-Guard,Active,N,1610612738,Celtics,BOS,celtics,Boston,jayson_tatum,2017,2025,N,Y,Y,2017,1,3,N
1628370,Malik,Monk,Malik Monk,"Monk, Malik",M. Monk,malik-monk,1998-02-04T00:00:00,Kentucky,USA,Kentucky/USA,6-3,200,8,0,Guard,Active,N,1610612758,Kings,SAC,kings,Sacramento,malik_monk,2017,2025,Y,Y,Y,2017,1,11,N
1628371,Jonathan,Isaac,Jonathan Isaac,"Isaac, Jonathan",J. Isaac,jonathan-isaac,1997-10-03T00:00:00,Florida State,USA,Florida State/USA,6-10,230,6,1,Forward,Active,N,1610612753,Magic,ORL,magic,Orlando,jonathan_isaac,2017,2025,Y,Y,Y,2017,1,6,N
1628374,Lauri,Markkanen,Lauri Markkanen,"Markkanen, Lauri",L. Markkanen,lauri-markkanen,1997-05-22T00:00:00,Arizona,Finland,Arizona/Finland,7-0,240,8,23,Forward-Center,Active,N,1610612762,Jazz,UTA,jazz,Utah,lauri_markkanen,2017,2025,N,Y,Y,2017,1,7,N
1628378,Donovan,Mitchell,Donovan Mitchell,"Mitchell, Donovan",D. Mitchell,donovan-mitchell,1996-09-07T00:00:00,Louisville,USA,Louisville/USA,6-3,215,8,45,Guard,Active,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,donovan_mitchell,2017,2025,N,Y,Y,2017,1,13,N
1628379,Luke,Kennard,Luke Kennard,"Kennard, Luke",L. Kennard,luke-kennard,1996-06-24T00:00:00,Duke,USA,Duke/USA,6-5,206,8,10,Guard,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,luke_kennard,2017,2025,Y,Y,Y,2017,1,12,N
1628380,Zach,Collins,Zach Collins,"Collins, Zach",Z. Collins,zach-collins,1997-11-19T00:00:00,Gonzaga,USA,Gonzaga/USA,6-11,250,7,12,Forward-Center,Active,N,1610612741,Bulls,CHI,bulls,Chicago,zach_collins,2017,2025,Y,Y,Y,2017,1,10,N
1628381,John,Collins,John Collins,"Collins, John",J. Collins,john-collins,1997-09-23T00:00:00,Wake Forest,USA,Wake Forest/USA,6-9,226,8,20,Forward-Center,Active,N,1610612762,Jazz,UTA,jazz,Utah,john_collins,2017,2025,N,Y,Y,2017,1,19,N
1628384,OG,Anunoby,OG Anunoby,"Anunoby, OG",O. Anunoby,og-anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-7,240,8,8,Forward-Guard,Active,N,1610612752,Knicks,NYK,knicks,New York,og_anunoby,2017,2025,N,Y,Y,2017,1,23,N
1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-9,243,8,31,Center,Active,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017,2025,N,Y,Y,2017,1,22,N
1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,8,13,Center-Forward,Active,N,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2025,N,Y,Y,2017,1,14,N
1628392,Isaiah,Hartenstein,Isaiah Hartenstein,"Hartenstein, Isaiah",I. Hartenstein,isaiah-hartenstein,1998-05-05T00:00:00,Zalgiris,Germany,Zalgiris/Germany,7-0,250,7,55,Center-Forward,Active,N,1610612760,Thunder,OKC,thunder,Oklahoma City,isaiah_hartenstein,2018,2025,Y,Y,Y,2017,2,43,N
1628396,Tony,Bradley,Tony Bradley,"Bradley, Tony",T. Bradley,tony-bradley,1998-01-08T00:00:00,North Carolina,USA,North Carolina/USA,6-11,248,7,13,Center-Forward,Active,N,1610612754,Pacers,IND,pacers,Indiana,tony_bradley,2017,2025,Y,Y,Y,2017,1,28,N
1628398,Kyle,Kuzma,Kyle Kuzma,"Kuzma, Kyle",K. Kuzma,kyle-kuzma,1995-07-24T00:00:00,Utah,USA,Utah/USA,6-9,221,8,18,Forward,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,kyle_kuzma,2017,2025,N,Y,Y,2017,1,27,N
1628401,Derrick,White,Derrick White,"White, Derrick",D. White,derrick-white,1994-07-02T00:00:00,Colorado,USA,Colorado/USA,6-4,190,8,9,Guard,Active,N,1610612738,Celtics,BOS,celtics,Boston,derrick_white,2017,2025,Y,Y,Y,2017,1,29,N
1628404,Josh,Hart,Josh Hart,"Hart, Josh",J. Hart,josh-hart,1995-03-06T00:00:00,Villanova,USA,Villanova/USA,6-4,215,8,3,Guard,Active,N,1610612752,Knicks,NYK,knicks,New York,josh_hart,2017,2025,Y,Y,Y,2017,1,30,N
1628408,PJ,Dozier,PJ Dozier,"Dozier, PJ",P. Dozier,pj-dozier,1996-10-25T00:00:00,South Carolina,USA,South Carolina/USA,6-6,205,6,,Guard-Forward,Inactive,Y,0,,,,,pj_dozier,2017,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1628415,Dillon,Brooks,Dillon Brooks,"Brooks, Dillon",D. Brooks,dillon-brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,6-6,225,8,9,Guard-Forward,Active,N,1610612745,Rockets,HOU,rockets,Houston,dillon_brooks,2017,2025,N,Y,Y,2017,2,45,N
1628418,Thomas,Bryant,Thomas Bryant,"Bryant, Thomas",T. Bryant,thomas-bryant,1997-07-31T00:00:00,Indiana,USA,Indiana/USA,6-10,248,8,3,Center-Forward,Active,N,1610612754,Pacers,IND,pacers,Indiana,thomas_bryant,2017,2025,Y,Y,Y,2017,2,42,N
1628420,Monté,Morris,Monté Morris,"Morris, Monté",M. Morris,monté-morris,1995-06-27T00:00:00,Iowa State,USA,Iowa State/USA,6-2,183,8,23,Guard,Active,N,1610612756,Suns,PHX,suns,Phoenix,monte_morris,2017,2025,Y,Y,Y,2017,2,51,N
1628427,Vlatko,Čančar,Vlatko Čančar,"Čančar, Vlatko",V. Čančar,vlatko-čančar,1997-04-10T00:00:00,San Pablo Burgos,Slovenia,San Pablo Burgos/Slovenia,6-8,236,5,31,Forward,Active,N,1610612743,Nuggets,DEN,nuggets,Denver,vlatko_cancar,2019,2025,Y,Y,Y,2017,2,49,N
1628436,Luke,Kornet,Luke Kornet,"Kornet, Luke",L. Kornet,luke-kornet,1995-07-15T00:00:00,Vanderbilt,USA,Vanderbilt/USA,7-1,250,8,40,Center-Forward,Active,N,1610612738,Celtics,BOS,celtics,Boston,luke_kornet,2017,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1628449,Chris,Boucher,Chris Boucher,"Boucher, Chris",C. Boucher,chris-boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,Oregon/Saint Lucia,6-9,200,8,25,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,chris_boucher,2017,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1628464,Daniel,Theis,Daniel Theis,"Theis, Daniel",D. Theis,daniel-theis,1992-04-04T00:00:00,Brose Bamberg,Germany,Brose Bamberg/Germany,6-8,245,7,,Forward-Center,Inactive,Y,0,,,,,daniel_theis,2017,2024,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1628467,Maxi,Kleber,Maxi Kleber,"Kleber, Maxi",M. Kleber,maxi-kleber,1992-01-29T00:00:00,Bayern Munich,Germany,Bayern Munich/Germany,6-10,240,8,14,Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,maxi_kleber,2017,2025,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1628470,Torrey,Craig,Torrey Craig,"Craig, Torrey",T. Craig,torrey-craig,1990-12-19T00:00:00,South Carolina Upstate,USA,South Carolina Upstate/USA,6-5,221,8,12,Forward,Active,N,1610612738,Celtics,BOS,celtics,Boston,torrey_craig,2017,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630526,Jeremiah,Robinson-Earl,Jeremiah Robinson-Earl,"Robinson-Earl, Jeremiah",J. Robinson-Earl,jeremiah-robinson-earl,2000-11-03T00:00:00,Villanova,USA,Villanova/USA,6-8,240,4,50,Forward,Active,N,1610612740,Pelicans,NOP,pelicans,New Orleans,jeremiah_robinson-earl,2021,2025,Y,Y,Y,2021,2,32,N
1630527,Brandon,Boston,Brandon Boston,"Boston, Brandon",B. Boston,brandon-boston,2001-11-28T00:00:00,Kentucky,USA,Kentucky/USA,6-6,188,4,11,Guard,Active,N,1610612740,Pelicans,NOP,pelicans,New Orleans,brandon_boston_jr,2021,2025,Y,Y,Y,2021,2,51,N
1630528,Josh,Christopher,Josh Christopher,"Christopher, Josh",J. Christopher,josh-christopher,2001-12-08T00:00:00,Arizona State,USA,Arizona State/USA,6-4,215,3,8,Guard,Active,N,1610612748,Heat,MIA,heat,Miami,josh_christopher,2021,2025,Y,Y,Y,2021,1,24,N
1630529,Herbert,Jones,Herbert Jones,"Jones, Herbert",H. Jones,herbert-jones,1998-10-06T00:00:00,Alabama,USA,Alabama/USA,6-7,206,4,2,Forward,Active,N,1610612740,Pelicans,NOP,pelicans,New Orleans,herbert_jones,2021,2025,N,Y,Y,2021,2,35,N
1630530,Trey,Murphy III,Trey Murphy III,"Murphy III, Trey",T. Murphy III,trey-murphy-iii,2000-06-18T00:00:00,Virginia,USA,Virginia/USA,6-8,206,4,25,Forward,Active,N,1610612740,Pelicans,NOP,pelicans,New Orleans,trey_murphy_iii,2021,2025,Y,Y,Y,2021,1,17,N
1630531,Jaden,Springer,Jaden Springer,"Springer, Jaden",J. Springer,jaden-springer,2002-09-25T00:00:00,Tennessee,USA,Tennessee/USA,6-4,202,4,11,Guard,Active,N,1610612762,Jazz,UTA,jazz,Utah,jaden_springer,2021,2025,Y,Y,Y,2021,1,28,N
